Cluster,gleditsia triacanthos,platanus acerifolia,quercus palustris,ginkgo biloba,quercus acutissima,pyrus calleryana,koelreuteria paniculata,styphnolobium japonicum,zelkova serrata,tilia cordata,crataegus,quercus robur,quercus bicolor,liquidambar styraciflua,fraxinus pennsylvanica,quercus phellos,syringa reticulata,prunus,acer platanoides,liriodendron tulipifera,acer campestre,ulmus americana,acer saccharinum,acer rubrum,cercis canadensis,acer ginnala,quercus rubra,tilia tomentosa,gymnocladus dioicus,tilia americana,malus,metasequoia glyptostroboides,ilex,prunus virginiana,prunus cerasifera,celtis occidentalis,juniperus virginiana,fraxinus,magnolia,catalpa,quercus alba,morus,ulmus parvifolia,acer pseudoplatanus,taxodium distichum,aesculus hippocastanum,fraxinus americana,acer saccharum,acer palmatum,robinia pseudoacacia,carpinus betulus,ailanthus altissima,cornus florida,pinus strobus,tsuga canadensis,amelanchier,cercidiphyllum japonicum,picea pungens,pinus,picea,pinus nigra,picea abies
Cluster36,0.3,0.171405361,0.262948207,0.087719298,0.285714286,0.159482759,,0.22147651,0.084805654,0.136363636,,0,,0.065217391,0.144016227,,,0,0.073619632,,0,0.584103512,0.076923077,0.025316456,,,0.148148148,0.072368421,,0.047244094,,0.095238095,,0.05,0,,,,,,,,,0,,,,0.039473684,,0.021276596,0,0,,,,,,,,,,
Cluster37,0.080160321,0.152661681,0.149060272,0.03271028,,0.074402126,,0.107142857,0.012711864,0.103092784,,,,0.019157088,0.038812785,0,0.204081633,0.049868766,0.03080308,0.03030303,,0.052631579,0.042798354,0.023076923,,0,0.026315789,0.053191489,,0.006410256,0.047619048,,,0.038461538,0,0.046511628,,,0,,0,0,0,0.003831418,0,0,,0.010582011,0.074074074,0,0,0,0.015267176,0,,,,0,,0,,
Cluster38,0.093253968,0.099088838,0.112331081,0.079207921,,0.050395968,,0,0.021428571,0.060240964,0,0,,0.057803468,0.071264368,,0.023809524,0.069252078,0.038645691,,0,0.03125,0.074331021,0.051282051,0,0.068965517,0.037344398,0.026315789,,0,0,,,0,0.013745704,0,,,0,,0,0,0,0.007968127,0,0,,0,0.009661836,0.008196721,0,0,0,0,,,0,,,,,
Cluster39,0.513139696,0.418793503,0.228813559,,,0.272189349,,0.460176991,0.235955056,0.236363636,,,,,0.140350877,,,0.308474576,0.181578947,,,0.113636364,0.077586207,0.271186441,,,,0,0.111111111,,0,,,,0.119047619,0.166666667,,0,,,,,,0,,,,0,,0,,,,,,,,,,,,
Cluster40,0.147222222,0.232986767,0.26121372,0.071428571,,0.073873874,,0.163043478,0.18902439,0.066066066,,,,,0,,,0,0.044205496,,0.12,0,0.018018018,0.045751634,,0,0,0.01754386,,0.018867925,,,,0,0,,,,,,,,0,,,,,0.01754386,0,,,0,,,,,,0,,0,,
Cluster41,0.216624685,0.187551188,0.195229682,0.182692308,,0.141882674,,0.0625,0.045112782,0.038095238,,,,0.011111111,0.103448276,,,0.087837838,0.052742616,,,0,0.06743738,0.019950125,0.125,,0.023904382,0.072463768,,0,0,0,,0,0.01369863,,,,,,,0,0,0.042735043,0.019230769,0,,0,0.009433962,0,,0,0.040816327,0.019607843,,,,,,,,
Cluster42,0.246196404,0.223336372,0.190732759,0.2,,0.156417112,,0.135416667,0.108108108,0.107954545,,,,0,0.206185567,,,0.037735849,0.084672435,,0,0,0.019900498,0.038461538,,0.060606061,0.033898305,0,,0.015384615,0,0.05,,0,0.007194245,,,,0,,,0,,0.016393443,,0,,0.009090909,0,0,,,0,,,,,0,,,,0
Cluster43,0.373549884,0.429103089,0.429447853,0.365269461,,0.172523962,,0.045454545,0.246987952,0.147058824,,,,,0.221635884,0.108108108,,0.163934426,0.1298027,,,0.176470588,0.087837838,0.059405941,,,0.303030303,0.033333333,,0.073394495,,,,,,,,,,,0,,,0.032258065,,,,,0,0,,,,,,,,,,,,
Cluster44,0.497322624,0.209302326,0.300995025,0.412868633,,0.353204173,,0.407017544,0.254019293,0.160273973,0.340909091,0.23255814,,0.01754386,0.151785714,0.294520548,,0.065420561,0.025641026,,,0.31441048,,0,,,0.095238095,0.020408163,,0.009345794,0.322834646,,,,0.340909091,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,
Cluster45,0.34375,0.293979304,0.220806794,0.167567568,,0.132616487,,0.138297872,0.225,0.18814433,,,0.153846154,0.277310924,0.087248322,,,0.036231884,0.092363261,0.358974359,,0.130434783,0.08372093,0.064171123,,,0.040462428,0.137362637,,0.098484848,0.055555556,0.096774194,0.041666667,0.044444444,0,0.033333333,,,0.022727273,0,0,0,0,0.049180328,0,0,,0.013333333,0.041666667,0.015037594,0,0,0.041666667,0.024390244,,,,,,0,,
Cluster46,0.281632653,0.508224236,0.2,0.192307692,,0.328947368,,0.104477612,0.137931034,0.027777778,,,,,0.039215686,,,0.335329341,0.144262295,,,0,0.133333333,0.211382114,,,0.033333333,,,,,,,,,,,,,,,,,0.051948052,0,,,0.1,0,,,,,0,,,,,,,,
Cluster47,0.422907489,0.332323232,0.391764706,0.344615385,,0.317630264,,0.274834437,0.280701754,0.194570136,0.285714286,,0,0.05,0.060377358,0.101694915,,0.157142857,0.055248619,,,0.173652695,,0.042735043,,0,0.116197183,0.046728972,0.018867925,0.107317073,0.372093023,0,,0,0.067567568,0,,,,,0.125,,0.095238095,,,,,0,,0.0390625,,0,,,,,,,,,,
Cluster48,0.358173077,0.326494202,0.425556858,0.417021277,,0.17961165,,0.133333333,0.304347826,0.180527383,,,,0.131578947,0.247524752,0.192307692,,0.167832168,0.137875101,,,0,0.082191781,0.090909091,,,0.028708134,0.113333333,,0.075376884,0.041666667,,,0,0.1,0,,,,,0,,0,0,,,0,0,,0,,,,,,,,,
Cluster49,0.145650049,0.115737906,0.164917541,0.224806202,,0.091160221,,0.161764706,0.009836066,0.060998152,,,,0.046511628,0.055427252,0.037037037,0,0.094262295,0.045685279,,0,0,0.013586957,0.002506266,,0.023809524,0,0.037383178,,0.056074766,0,,,0,0,,,,,,,0.25,0,0.025641026,,,,0,,0,,0,,,,,,,
Cluster50,0.406654344,0.163512491,,0.458333333,,0.361616162,,0.365079365,0.086956522,0.097560976,,,,,0.393939394,,,0.222222222,0.1075,,,,0.083333333,0.071428571,,,,,,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0
